"","essround","netuse","ppltrst","polintr","vote","prtvtes","lawobey","gndr","agea","edlves","pdjobev","dscrgrp","region","dscrage","dscrdk","dscrdsb","dscretn","dscrgnd","dscrlng","dscrna","dscrnap","dscrntn","dscroth","dscrrce","dscrref","dscrsex","discrimination"
"1",2002,6,5,3,3,66,2,2,17,2,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"2",2002,4,3,2,2,66,2,1,38,5,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"3",2002,0,5,3,3,66,3,1,20,3,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"4",2002,0,2,4,1,3,2,1,22,3,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"5",2002,0,2,4,2,66,2,1,80,1,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"6",2002,4,8,3,3,66,2,1,16,3,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"7",2002,0,4,3,1,1,2,2,61,2,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"8",2002,4,7,4,1,2,2,1,22,8,7,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"9",2002,1,8,3,1,1,4,2,40,5,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"10",2002,4,5,2,2,66,2,2,42,4,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"11",2002,7,1,4,1,2,1,2,45,8,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"12",2002,0,3,4,8,66,2,1,32,3,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"13",2002,0,3,3,1,77,2,2,68,0,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"14",2002,0,5,4,1,2,8,1,82,0,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"15",2002,0,3,4,1,77,2,2,57,1,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"16",2002,0,6,2,2,66,2,1,78,1,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"17",2002,0,4,4,2,66,2,2,87,0,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"18",2002,0,7,4,1,1,2,2,71,1,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"19",2002,0,3,4,1,2,8,1,83,0,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"20",2002,0,5,4,2,66,1,1,38,2,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"21",2002,0,2,4,1,2,8,2,71,0,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"22",2002,5,8,4,3,66,1,1,17,3,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"23",2002,0,3,2,2,66,8,2,22,3,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"24",2002,0,2,4,1,2,2,2,80,0,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"25",2002,0,5,4,1,2,8,2,76,0,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"26",2002,0,4,4,1,2,2,1,53,1,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"27",2002,0,4,3,1,77,8,2,83,0,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"28",2002,0,4,3,2,66,2,2,76,0,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"29",2002,0,7,4,1,2,2,1,62,1,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"30",2002,0,5,3,1,3,4,2,26,5,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"31",2002,6,6,2,1,68,4,1,28,6,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"32",2002,0,3,2,1,1,3,1,48,5,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"33",2002,0,6,3,1,77,2,1,46,11,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"34",2002,0,4,4,1,77,2,2,74,0,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"35",2002,2,8,3,1,2,5,1,40,5,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"36",2002,4,6,2,1,3,4,1,39,5,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"37",2002,0,5,3,1,2,3,2,37,5,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"38",2002,0,3,3,1,2,2,2,29,2,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"39",2002,0,2,3,1,1,2,2,64,2,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"40",2002,0,8,3,1,77,3,1,26,3,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"41",2002,0,5,2,1,2,3,1,77,5,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"42",2002,0,1,4,2,66,3,2,22,3,2,1,"",0,0,0,1,0,0,0,0,0,0,1,0,0,"Raza"
"43",2002,0,3,4,2,66,4,1,23,3,1,1,"",0,0,0,1,0,0,0,0,0,0,0,0,0,"Etnia"
"44",2002,0,3,2,1,77,4,1,44,5,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"45",2002,4,7,2,1,2,4,2,35,5,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"46",2002,0,0,3,1,3,2,2,53,2,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"47",2002,0,1,4,2,66,4,2,28,4,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"48",2002,0,7,4,1,1,3,2,60,1,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"49",2002,3,5,4,1,3,3,2,27,8,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"50",2002,2,8,2,2,66,4,2,50,1,6,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"51",2002,1,6,4,2,66,3,1,80,0,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"52",2002,0,2,3,1,2,2,2,66,1,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"53",2002,0,7,4,1,2,4,1,76,0,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"54",2002,0,3,3,1,77,5,1,46,4,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"55",2002,0,9,4,2,66,2,2,51,2,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"56",2002,0,7,2,1,2,2,1,78,1,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"57",2002,0,8,4,2,66,3,2,27,0,2,1,"",0,0,0,0,0,0,0,0,0,0,1,0,0,"Raza"
"58",2002,1,6,3,1,2,3,2,46,2,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"59",2002,0,2,3,1,1,1,1,70,1,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"60",2002,0,2,2,1,2,2,1,62,2,1,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"61",2002,0,2,4,1,1,2,2,72,1,2,2,"",0,0,0,0,0,0,0,1,0,0,0,0,0,"No discriminado"
"62",2002,1,6,3,1,3,4,2,36,8,6,1,"",0,0,0,0,1,0,0,0,0,0,0,0,0,"Género"
